# name								? FEC mfec  mfecchannel hubaddress portadd rocid FED channel  	roc#
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC10 A2 6    1       2          30        2      10    1261     32     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC11 A2 6    1       2          30        2      11    1261     32     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC12 A2 6    1       2          30        3      12    1261     32     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC13 A2 6    1       2          30        3      13    1261     32     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC14 A2 6    1       2          30        3      14    1261     32     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC15 A2 6    1       2          30        3      15    1261     32     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC0 A1 6    1       2          29        0      0    1261     25     0
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC1 A1 6    1       2          29        0      1    1261     25     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC2 A1 6    1       2          29        0      2    1261     25     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC3 A1 6    1       2          29        0      3    1261     25     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC4 A1 6    1       2          29        1      4    1261     25     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC5 A1 6    1       2          29        1      5    1261     25     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC6 A1 6    1       2          29        1      6    1261     25     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC7 A1 6    1       2          29        1      7    1261     25     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC8 A2 6    1       2          29        2      8    1261     26     0
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC9 A2 6    1       2          29        2      9    1261     26     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC10 A2 6    1       2          29        2      10    1261     26     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC11 A2 6    1       2          29        2      11    1261     26     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC12 A2 6    1       2          29        3      12    1261     26     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC13 A2 6    1       2          29        3      13    1261     26     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC14 A2 6    1       2          29        3      14    1261     26     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC15 A2 6    1       2          29        3      15    1261     26     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC0 A1 6    1       2          28        0      0    1261     27     0
